id,name,default_code,sale_ok,detailed_type,list_price,standard_price,description_sale,categ_id/name,uom_id/name,uom_po_id/name
steamships_demo.product_fcl20_lae_pom,"Container FCL 20ft, Lae -> Port Moresby",STL-FCL-20-LAE-POM,True,service,4500,3150,"Full container load (20ft) road haulage plus port handling from Lae to Port Moresby. Inclusive of gate-in and terminal handling. Price in PGK per move.",Steamships Shipping,Units,Units
steamships_demo.product_fcl40_lae_pom,"Container FCL 40ft, Lae -> Port Moresby",STL-FCL-40-LAE-POM,True,service,7200,5200,"Full container load (40ft) road haulage plus port handling from Lae to Port Moresby. Inclusive of gate-in and terminal handling. Price in PGK per move.",Steamships Shipping,Units,Units
steamships_demo.product_lcl_cbm,LCL per cubic metre,STL-LCL-CBM,True,service,380,260,"Less-than-container-load consolidation. Charged per cubic metre. Includes origin handling and destination handling in POM. PGK per cbm.",Steamships Shipping,Units,Units
steamships_demo.product_stevedoring_move,Stevedoring per move,STL-STEV-MOVE,True,service,185,120,"Stevedoring labour and gear per container move (load or discharge). Price in PGK per move.",Steamships Shipping,Units,Units
steamships_demo.product_tug_hour,"Tug assistance per hour",STL-TUG-HOUR,True,service,2400,1700,"Harbour tug charter per hour. Minimum 2 hours. Price in PGK per hour.",Steamships Shipping,Units,Units
steamships_demo.product_port_handling,Port handling charge,STL-PORT-HANDLING,True,service,210,140,"Standard port handling charge per FCL or per consignment. Includes documentation, gate pass, and yard fees. Price in PGK per consignment.",Steamships Shipping,Units,Units
steamships_demo.product_doc_fee,Container documentation fee,STL-DOC-FEE,True,service,75,40,"Documentation fee per shipment covering customs form, terminal interchange, and Steamships export paperwork. Price in PGK per shipment.",Steamships Shipping,Units,Units
steamships_demo.product_office_lease_sqm,Office lease per square metre per month,PRP-OFFICE-SQM-MO,True,service,55,30,"CBD-grade office space. Long-term lease per square metre per month. Excludes service charge and outgoings. PGK per sqm per month.",Steamships Property,Units,Units
steamships_demo.product_warehouse_day,Warehouse storage per day,PRP-WAREHOUSE-DAY,True,service,45,25,"Bonded warehouse storage per pallet per day. Subject to availability. PGK per pallet per day.",Steamships Property,Units,Units
steamships_demo.product_retail_lease_sqm,Retail shop lease per square metre per month,PRP-RETAIL-SQM-MO,True,service,72,45,"Ground floor retail shop lease per square metre per month in Steamships CBD malls. Excludes service charge. PGK per sqm per month.",Steamships Property,Units,Units
steamships_demo.product_accommodation_night,Corporate accommodation per night,HSP-ACCOM-NIGHT,True,service,485,290,"Corporate rate single occupancy per night at a Coral Sea property. Includes breakfast and wifi. PGK per night.",Steamships Hospitality,Units,Units
steamships_demo.product_conference_half_day,Conference room half-day package,HSP-CONF-HALFDAY,True,service,950,620,"Half-day conference package for up to 20 delegates. Includes room, projector, and morning/afternoon tea. PGK per half-day.",Steamships Hospitality,Units,Units
steamships_demo.product_catering_person,Catering package per person,HSP-CATER-PERSON,True,service,110,72,"Lunch or dinner catering package per person. Buffet style with two mains and dessert. PGK per person.",Steamships Hospitality,Units,Units
steamships_demo.product_jv_logistics,JV partner logistics handling,JV-LOG-HANDLING,True,service,1450,1010,"Joint venture logistics handling fee for shared distribution activities. Includes inbound consolidation and warehouse handling. PGK per shipment.",Steamships Joint Ventures,Units,Units
steamships_demo.product_jv_admin_fee,JV shared service administration fee,JV-ADMIN-FEE,True,service,580,360,"Joint venture shared service administration fee covering finance, IT, and HR shared services. PGK per month per JV entity.",Steamships Joint Ventures,Units,Units
