id,name,partner_id/name,email_from,phone,expected_revenue,probability,stage_id/name,description
steamships_demo.lead_pacific_20ft_lae_pom,"Pacific Cargo PNG Ltd - 20ft Lae to Port Moresby",Pacific Cargo PNG Ltd,info@pacificcargopng.example.com,+675 7000 1100,18000,65,Quoted,"Service needed: monthly FCL 20ft moves Lae to Port Moresby, around 4 shipments per month. Documents received: company registration, TIN letter. Documents missing: vessel nomination authority from shipping line. Next step: confirm pricing for Q3 and get client PO. Demo contact: Anna Korowa."
steamships_demo.lead_lae_marine_stevedoring,Lae Marine Services - Stevedoring expansion,Lae Marine Services,contact@laemarineservices.example.com,+675 7000 1200,32000,40,Onboarding Docs,"Service needed: expanded stevedoring coverage for two new berths in Lae. Documents received: contract draft, safety policy. Documents missing: insurance certificate. Next step: legal review of contract and insurance handshake. Demo contact: James Wambi."
steamships_demo.lead_pom_retail_warehouse,"Port Moresby Retail Group - Warehouse storage",Port Moresby Retail Group,enquiries@pomretail.example.com,+675 7000 1300,9500,20,Lead Qualified,"Service needed: short-term warehouse storage for stock overflow during store refurb. Documents missing: client is still gathering storage volume profile. Next step: site visit to Waigani warehouse. Demo contact: Maryanne Igime."
steamships_demo.lead_rabaul_fcl40,"Rabaul Hardware Supplies - 40ft container programme",Rabaul Hardware Supplies,sales@rabaulhardware.example.com,+675 7000 1400,28500,60,Quoted,"Service needed: recurring 40ft FCL shipments of hardware goods from Lae to Rabaul. Documents received: product schedule. Documents missing: import permit renewal. Next step: align schedule with shipping line slot booking. Demo contact: Peter Kamong."
steamships_demo.lead_madang_cold_chain,"Madang Fisheries Export Ltd - Cold chain handling",Madang Fisheries Export Ltd,export@madangfisheries.example.com,+675 7000 1500,22000,45,Onboarding Docs,"Service needed: cold chain handling at port and reefer container handling. Documents received: HACCP plan. Documents missing: reefer container lease agreement. Next step: confirm reefer plug availability at terminal. Demo contact: Theresa Aisa."
steamships_demo.lead_kimbe_bulk_lcl,"Kimbe Agro Trading - Bulk LCL to Asia",Kimbe Agro Trading,hello@kimbeagro.example.com,+675 7000 1600,14500,15,Lead Qualified,"Service needed: bulk LCL consolidation of cocoa and palm oil samples for export. Documents received: sample schedule. Documents missing: phytosanitary certificate. Next step: client to schedule first pickup. Demo contact: Robert Yama."
steamships_demo.lead_highlands_office_lease,Highlands Construction Group - Mt Hagen office lease,Highlands Construction Group,tenders@highlandsconstruction.example.com,+675 7000 1700,7800,100,Won,"Service needed: 142 sqm office lease in Mt Hagen for project team. Documents received: signed lease, deposit paid. Next step: handover keys and update CRM Won date. Demo contact: Susanne Pake."
steamships_demo.lead_coral_sea_package,"Coral Sea Hospitality Ltd - Conference + accommodation package",Coral Sea Hospitality Ltd,reservations@coralseahospitality.example.com,+675 7000 1800,12780,55,Quoted,"Service needed: 4-night corporate accommodation block plus 2 half-day conferences plus catering for 40 people plus supporting services. Documents received: draft event schedule. Documents missing: final attendee list. Next step: confirm dates with property manager. Demo contact: Henry Aopi."
steamships_demo.lead_jv_colgate_logistics,"JV Colgate Palmolive PNG Demo - JV logistics handling",JV Colgate Palmolive PNG Demo,demo@jvcolpalpng.example.com,+675 7000 1900,26000,35,Onboarding Docs,"Service needed: monthly JV logistics handling for inbound finished goods. Documents received: JV partnership memo. Documents missing: signed service level agreement. Next step: SLA finalisation by legal. Demo contact: Linda Tup."
steamships_demo.lead_png_office_retail,"PNG Office Leasing Co - Retail lease consultation",PNG Office Leasing Co,leasing@pngofficeleasing.example.com,+675 7000 2000,6400,15,Lead Qualified,"Service needed: consultation on Steamships retail lease pricing across their 3 CBD malls. Documents missing: client lease portfolio map. Next step: arrange walkthrough tour. Demo contact: Michael Yali."
steamships_demo.lead_lae_marine_lost,Lae Marine Services - Tug assistance pilot,Lae Marine Services,contact@laemarineservices.example.com,+675 7000 1200,4000,0,Lost,"Service needed: one-off tug pilot. Documents received: pilot request. Outcome: client chose competitor due to faster response time. Keep relationship warm for stevedoring expansion. Demo contact: James Wambi."
steamships_demo.lead_highlands_lost,Highlands Construction Group - Tug assistance cancelled,Highlands Construction Group,tenders@highlandsconstruction.example.com,+675 7000 1700,3500,0,Lost,"Service needed: one-time tug charter at Lae for barge offload. Outcome: project cancelled due to weather window. Demo contact: Susanne Pake."
